SEQUENTIAL
# Username;SIP Proxy;Auth;Destination
7000;172.16.2.99;[authentication username=7000 password=123456];*9196;
7001;172.16.2.99;[authentication username=7001 password=123456];*9196;
7002;172.16.2.99;[authentication username=7002 password=123456];*9196;
7003;172.16.2.99;[authentication username=7003 password=123456];*9196;
7004;172.16.2.99;[authentication username=7004 password=123456];*9196;
7005;172.16.2.99;[authentication username=7005 password=123456];*9196;
7006;172.16.2.99;[authentication username=7006 password=123456];*9196;
7007;172.16.2.99;[authentication username=7007 password=123456];*9196;
7008;172.16.2.99;[authentication username=7008 password=123456];*9196;
7009;172.16.2.99;[authentication username=7009 password=123456];*9196;
7010;172.16.2.99;[authentication username=7010 password=123456];*9196;
7011;172.16.2.99;[authentication username=7011 password=123456];*9196;
7012;172.16.2.99;[authentication username=7012 password=123456];*9196;
7013;172.16.2.99;[authentication username=7013 password=123456];*9196;
7014;172.16.2.99;[authentication username=7014 password=123456];*9196;
7015;172.16.2.99;[authentication username=7015 password=123456];*9196;
7016;172.16.2.99;[authentication username=7016 password=123456];*9196;
7017;172.16.2.99;[authentication username=7017 password=123456];*9196;
7018;172.16.2.99;[authentication username=7018 password=123456];*9196;
7019;172.16.2.99;[authentication username=7019 password=123456];*9196;
7020;172.16.2.99;[authentication username=7020 password=123456];*9196;
7021;172.16.2.99;[authentication username=7021 password=123456];*9196;
7022;172.16.2.99;[authentication username=7022 password=123456];*9196;
7023;172.16.2.99;[authentication username=7023 password=123456];*9196;
7024;172.16.2.99;[authentication username=7024 password=123456];*9196;
7025;172.16.2.99;[authentication username=7025 password=123456];*9196;
7026;172.16.2.99;[authentication username=7026 password=123456];*9196;
7027;172.16.2.99;[authentication username=7027 password=123456];*9196;
7028;172.16.2.99;[authentication username=7028 password=123456];*9196;
7029;172.16.2.99;[authentication username=7029 password=123456];*9196;
7030;172.16.2.99;[authentication username=7030 password=123456];*9196;
7031;172.16.2.99;[authentication username=7031 password=123456];*9196;
7032;172.16.2.99;[authentication username=7032 password=123456];*9196;
7033;172.16.2.99;[authentication username=7033 password=123456];*9196;
7034;172.16.2.99;[authentication username=7034 password=123456];*9196;
7035;172.16.2.99;[authentication username=7035 password=123456];*9196;
7036;172.16.2.99;[authentication username=7036 password=123456];*9196;
7037;172.16.2.99;[authentication username=7037 password=123456];*9196;
7038;172.16.2.99;[authentication username=7038 password=123456];*9196;
7039;172.16.2.99;[authentication username=7039 password=123456];*9196;
7040;172.16.2.99;[authentication username=7040 password=123456];*9196;
7041;172.16.2.99;[authentication username=7041 password=123456];*9196;
7042;172.16.2.99;[authentication username=7042 password=123456];*9196;
7043;172.16.2.99;[authentication username=7043 password=123456];*9196;
7044;172.16.2.99;[authentication username=7044 password=123456];*9196;
7045;172.16.2.99;[authentication username=7045 password=123456];*9196;
7046;172.16.2.99;[authentication username=7046 password=123456];*9196;
7047;172.16.2.99;[authentication username=7047 password=123456];*9196;
7048;172.16.2.99;[authentication username=7048 password=123456];*9196;
7049;172.16.2.99;[authentication username=7049 password=123456];*9196;
7050;172.16.2.99;[authentication username=7050 password=123456];*9196;
7051;172.16.2.99;[authentication username=7051 password=123456];*9196;
7052;172.16.2.99;[authentication username=7052 password=123456];*9196;
7053;172.16.2.99;[authentication username=7053 password=123456];*9196;
7054;172.16.2.99;[authentication username=7054 password=123456];*9196;
7055;172.16.2.99;[authentication username=7055 password=123456];*9196;
7056;172.16.2.99;[authentication username=7056 password=123456];*9196;
7057;172.16.2.99;[authentication username=7057 password=123456];*9196;
7058;172.16.2.99;[authentication username=7058 password=123456];*9196;
