"extension_uuid","domain_uuid","extension","number_alias","password","accountcode","effective_caller_id_name","effective_caller_id_number","outbound_caller_id_name","outbound_caller_id_number","emergency_caller_id_name","emergency_caller_id_number","directory_first_name","directory_last_name","directory_visible","directory_exten_visible","limit_max","limit_destination","missed_call_app","missed_call_data","user_context","toll_allow","call_timeout","call_group","call_screen_enabled","user_record","hold_music","auth_acl","cidr","sip_force_contact","nibble_account","sip_force_expires","mwi_account","sip_bypass_media","unique_id","dial_string","dial_user","dial_domain","do_not_disturb","forward_all_destination","forward_all_enabled","forward_busy_destination","forward_busy_enabled","forward_no_answer_destination","forward_no_answer_enabled","follow_me_uuid","enabled","description","absolute_codec_string","forward_user_not_registered_destination","forward_user_not_registered_enabled"
"219f543c-3c25-4266-9602-33101470d7ef","6629d77e-34d0-4657-9d73-6614bccd1f2d","7010","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"e6072601-effd-455e-a443-c45252382b2a","6629d77e-34d0-4657-9d73-6614bccd1f2d","7011","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"e2bee6dc-8be3-40c2-992c-bdd43fa280ea","6629d77e-34d0-4657-9d73-6614bccd1f2d","7012","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"f3440ff6-9649-4eb7-aff6-eef98c778bc1","6629d77e-34d0-4657-9d73-6614bccd1f2d","7013","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"11efbcca-1e48-4cfb-b4c4-9cb1b39c71e0","6629d77e-34d0-4657-9d73-6614bccd1f2d","7014","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"acab7d3d-c299-43fb-a7b5-38bce6b73df4","6629d77e-34d0-4657-9d73-6614bccd1f2d","7015","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"7dd6f9e6-7048-4f70-85b0-a4a1a1ece7b6","6629d77e-34d0-4657-9d73-6614bccd1f2d","7016","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"286c9f6b-807a-4abb-8b0a-06f6d85cf8eb","6629d77e-34d0-4657-9d73-6614bccd1f2d","7017","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"ee33d54e-2111-4bae-a319-8edbb03871f6","6629d77e-34d0-4657-9d73-6614bccd1f2d","7018","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"71629e0f-29bd-4cc5-ac06-2aa1c2a8996b","6629d77e-34d0-4657-9d73-6614bccd1f2d","7019","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
