"extension_uuid","domain_uuid","extension","number_alias","password","accountcode","effective_caller_id_name","effective_caller_id_number","outbound_caller_id_name","outbound_caller_id_number","emergency_caller_id_name","emergency_caller_id_number","directory_first_name","directory_last_name","directory_visible","directory_exten_visible","limit_max","limit_destination","missed_call_app","missed_call_data","user_context","toll_allow","call_timeout","call_group","call_screen_enabled","user_record","hold_music","auth_acl","cidr","sip_force_contact","nibble_account","sip_force_expires","mwi_account","sip_bypass_media","unique_id","dial_string","dial_user","dial_domain","do_not_disturb","forward_all_destination","forward_all_enabled","forward_busy_destination","forward_busy_enabled","forward_no_answer_destination","forward_no_answer_enabled","follow_me_uuid","enabled","description","absolute_codec_string","forward_user_not_registered_destination","forward_user_not_registered_enabled"
"e99da5f7-0680-45eb-8552-e39dcff8e0e4","6629d77e-34d0-4657-9d73-6614bccd1f2d","7000","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"ada9bf55-8257-4b64-ae31-ba8149545706","6629d77e-34d0-4657-9d73-6614bccd1f2d","7001","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"7f8cee85-5ca8-4486-a471-6a9f5a569ad0","6629d77e-34d0-4657-9d73-6614bccd1f2d","7002","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"17779b52-020d-4823-bef0-96e639343f25","6629d77e-34d0-4657-9d73-6614bccd1f2d","7003","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"342680f5-f001-4f99-b71b-de2680de2019","6629d77e-34d0-4657-9d73-6614bccd1f2d","7004","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"c35e8a02-735a-4dde-8432-062fb6ebdacf","6629d77e-34d0-4657-9d73-6614bccd1f2d","7005","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"393a7fd5-1ecb-4250-8262-bc76172a2627","6629d77e-34d0-4657-9d73-6614bccd1f2d","7006","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"97aaf3a4-f902-4299-81c8-7a4864798537","6629d77e-34d0-4657-9d73-6614bccd1f2d","7007","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"61d27e88-ee65-4605-84d0-e11dda9ab06e","6629d77e-34d0-4657-9d73-6614bccd1f2d","7008","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
"2e922d34-d327-4daf-8413-f85e9d241c14","6629d77e-34d0-4657-9d73-6614bccd1f2d","7009","","123456","172.16.2.99","","","","","","","","","true","true","5","!USER_BUSY","","","172.16.2.99","","30","","false","","","","","","","","","","","","","","","","","","","","","","true","SIPp test","","",""
